Dataset title / Calibration periods / Tail length / period length / Min invest (-99 vai 0 vai 0.1);Meginajums1;784;9999;23;-95;
Timeseries title (15char):;INDEX WITH EQUAL WEIGHTS based on market value;EQUITY LM SNP;REX BOND;;;
Comments (bez koliem):;INDEX WITH MARKET WEIGHTS;S&P GERMANY :LM - TOT RETURN IND;REX BOND SUB INDEX CURRENT 1 YR ;;mean;0.000158589
30.10.2012;-0.001430706;-0.000346389;-1.94143E-05;;;
31.10.2012;0.002507643;0.005379542;-0.000135772;;;
01.11.2012;-0.000232792;0.000884258;0.000215258;;;
02.11.2012;-0.000786344;-0.001758495;-0.000160363;;;
05.11.2012;0.003897316;0.002981695;4.87726E-05;;;
06.11.2012;0.001154676;-0.005198788;-2.26274E-05;;;
07.11.2012;-0.00112223;-0.00373648;3.80683E-05;;;
08.11.2012;0.000768975;-0.001693767;2.38483E-05;;;
09.11.2012;-0.003127074;-8.42601E-05;3.16429E-05;;;
12.11.2012;0.003622601;-0.001181361;-2.49167E-05;;;
13.11.2012;0.001259758;4.82818E-05;5.0749E-05;;;
14.11.2012;0.001094264;-0.006199623;0.000114469;;;
15.11.2012;-0.00164018;-0.004269343;-3.34665E-05;;;
16.11.2012;-0.000175047;0.009562789;-2.0937E-05;;;
19.11.2012;0.001625611;0.002953207;-3.72917E-05;;;
20.11.2012;0.002065847;0.001091811;1.81878E-05;;;
21.11.2012;0.001329212;0.005252546;-5.4107E-05;;;
22.11.2012;-0.006910882;0.001748617;-5.2585E-05;;;
23.11.2012;0.000659997;8.25307E-05;7.12328E-05;;;
26.11.2012;0.002548836;0.002972418;-5.21241E-05;;;
27.11.2012;0.00276564;-0.000527206;4.32589E-05;;;
28.11.2012;0.001246765;0.004385554;-1.34511E-05;;;
29.11.2012;-0.003618776;0.000730501;2.27749E-05;;;
30.11.2012;0.002133104;0.000173748;-4.3258E-05;;;
03.12.2012;0.007096611;-0.001903429;-4.739E-05;;;
04.12.2012;-0.004341056;0.001903429;8.46869E-05;;;
05.12.2012;-0.001540389;0.004378586;-2.87367E-05;;;
06.12.2012;-0.00188129;-0.000768815;0.000123799;;;
07.12.2012;0.004739275;-0.000586131;1.72679E-05;;;
10.12.2012;-0.000798219;0.002991313;-2.16996E-05;;;
11.12.2012;0.006185097;0.000228372;-6.93847E-05;;;
12.12.2012;-0.004808912;-0.00102862;3.02617E-05;;;
13.12.2012;-0.001992968;0.001519213;-7.16838E-05;;;
14.12.2012;-0.007677413;-0.000387865;-2.38463E-05;;;
17.12.2012;0.001957066;0.002685123;1.19233E-05;;;
18.12.2012;-0.001233454;0.00310805;-1.26876E-05;;;
